R0	0x000010
R1	0x00010B
R2	0x000235
R3	0x000311
R4	0x000408
R5	0x000516
R6	0x000608
R7	0x000700
R8	0x000802
R10	0x000AC8
R11	0x000B00
R12	0x000C3B
R13	0x000D08
R14	0x000E00
R15	0x000F00
R16	0x001000
R17	0x00111D
R18	0x0012FF
R19	0x001300
R20	0x001400
R21	0x001500
R22	0x001600
R23	0x001755
R24	0x001855
R25	0x001900
R26	0x001A00
R27	0x001B00
R28	0x001C01
R29	0x001D11
R30	0x001E40
R32	0x002044
R35	0x002300
R36	0x002403
R37	0x002500
R38	0x002600
R39	0x002702
R40	0x002800
R41	0x002900
R42	0x002A11
R43	0x002B9B
R44	0x002C00
R45	0x002D00
R46	0x002E33
R47	0x002F83
R48	0x003050
R49	0x003147
R50	0x003218
R51	0x003318
R52	0x003400
R53	0x0035F9
R54	0x003618
R55	0x003700
R56	0x0038F9
R57	0x003910
R58	0x003A63
R59	0x003B00
R60	0x003C0F
R61	0x003D00
R62	0x003E0F
R63	0x003F3B
R64	0x004095
R65	0x004102
R66	0x0042F8
R67	0x0043FF
R68	0x004428
R69	0x004500
R70	0x004600
R71	0x004700
R72	0x00483F
R73	0x004900
R74	0x004A00
R75	0x004B00
R76	0x004C00
R77	0x004D0F
R78	0x004E00
R79	0x004F11
R80	0x005080
R81	0x00510A
R82	0x005200
R83	0x005305
R84	0x0054DC
R85	0x005500
R86	0x005600
R87	0x00571E
R88	0x005884
R89	0x005980
R90	0x005A00
R91	0x005B14
R92	0x005C00
R93	0x005D05
R94	0x005EDC
R95	0x005F00
R96	0x006000
R97	0x00611E
R98	0x006284
R99	0x006380
R100	0x006429
R101	0x006503
R102	0x006611
R103	0x00670F
R104	0x006818
R105	0x006905
R106	0x006A00
R107	0x006B64
R108	0x006C00
R109	0x006D7D
R110	0x006E00
R111	0x006F00
R112	0x007000
R113	0x007100
R114	0x007200
R115	0x007303
R116	0x007401
R117	0x007500
R118	0x007600
R119	0x007700
R120	0x007800
R121	0x007900
R122	0x007A00
R123	0x007B28
R124	0x007C09
R125	0x007DE5
R126	0x007E35
R127	0x007F2E
R128	0x008000
R129	0x008106
R130	0x008200
R131	0x008301
R132	0x008401
R133	0x008577
R134	0x008601
R135	0x008713
R136	0x008800
R137	0x008900
R138	0x008A00
R139	0x008B03
R140	0x008C02
R141	0x008D00
R142	0x008E01
R143	0x008F01
R144	0x009077
R145	0x009101
R146	0x009281
R147	0x009320
R149	0x00950D
R150	0x009600
R151	0x009701
R152	0x00980D
R153	0x009929
R154	0x009A24
R155	0x009B8B
R156	0x009C01
R157	0x009D00
R158	0x009E00
R159	0x009F00
R160	0x00A000
R161	0x00A100
R162	0x00A200
R164	0x00A400
R165	0x00A500
R167	0x00A702
R178	0x00B200
R180	0x00B400
R181	0x00B500
R182	0x00B600
R183	0x00B700
R184	0x00B800
R185	0x00B905
R186	0x00BA01
R187	0x00BB00
R188	0x00BC00
R189	0x00BD00
R190	0x00BE01
R191	0x00BF00
R192	0x00C050
R193	0x00C101
R194	0x00C201
R195	0x00C300
R196	0x00C400
R197	0x00C50D
R198	0x00C600
R199	0x00C700
R200	0x00C880
R201	0x00C900
R202	0x00CA00
R203	0x00CB00
R204	0x00CC07
R205	0x00CD00
R206	0x00CE00
R207	0x00CF7A
R208	0x00D000
R209	0x00D104
R210	0x00D200
R211	0x00D305
R212	0x00D400
R213	0x00D504
R214	0x00D600
R215	0x00D705
R216	0x00D80F
R217	0x00D900
R218	0x00DA01
R219	0x00DB2C
R220	0x00DC00
R221	0x00DD00
R222	0x00DE03
R223	0x00DF0D
R224	0x00E040
R225	0x00E100
R226	0x00E200
R227	0x00E318
R228	0x00E46A
R229	0x00E500
R230	0x00E603
R231	0x00E70D
R232	0x00E840
R233	0x00E90A
R234	0x00EA07
R235	0x00EB00
R236	0x00EC00
R237	0x00ED00
R238	0x00EE00
R239	0x00EF00
R240	0x00F000
R241	0x00F100
R242	0x00F202
R243	0x00F300
R244	0x00F400
R249	0x00F912
R250	0x00FA00
R251	0x00FB33
R252	0x00FC29
R253	0x00FD00
R254	0x00FE00
R255	0x00FF00
R256	0x010006
R257	0x010100
R258	0x010200
R259	0x01037D
R260	0x010402
R261	0x010580
R262	0x010600
R263	0x010700
R264	0x010800
R265	0x0109F4
R266	0x010A24
R267	0x010BA0
R268	0x010C0C
R269	0x010D00
R270	0x010E03
R271	0x010F7A
R272	0x01101F
R273	0x01111F
R274	0x01121F
R275	0x011313
R276	0x011410
R277	0x011513
R278	0x011604
R279	0x011708
R280	0x011804
R281	0x011902
R282	0x011A07
R283	0x011B02
R284	0x011C1E
R285	0x011D1E
R286	0x011E02
R287	0x011F6C
R288	0x012003
R289	0x0121E7
R290	0x012203
R291	0x012325
R292	0x012409
R293	0x012501
R294	0x012600
R295	0x01272C
R296	0x012800
R297	0x012906
R298	0x012A00
R299	0x012B01
R300	0x012C00
R301	0x012D17
R302	0x012E1B
R303	0x012F00
R304	0x013000
R305	0x013100
R306	0x013200
R307	0x01331E
R308	0x013484
R309	0x013580
R310	0x013600
R311	0x013700
R312	0x013800
R313	0x013900
R314	0x013A00
R315	0x013B00
R316	0x013C00
R317	0x013D00
R318	0x013E00
R319	0x013F03
R320	0x014000
R321	0x01410A
R322	0x014200
R323	0x014300
R324	0x014400
R325	0x01459A
R326	0x014600
R327	0x014703
R328	0x01480F
R329	0x014949
R330	0x014A00
R331	0x014B14
R332	0x014C00
R333	0x014D00
R334	0x014E00
R335	0x014F9A
R336	0x015000
R337	0x015103
R338	0x01520F
R339	0x015349
R340	0x015400
R341	0x015500
R342	0x015600
R343	0x015700
R344	0x015800
R345	0x015900
R346	0x015A02
R347	0x015B00
R348	0x015C00
R349	0x015D00
R350	0x015E00
R351	0x015FB7
R352	0x016000
R357	0x016528
R367	0x016F00
R411	0x019B08
